reference,window,channel,x,y,dist_cz,row_acc,col_acc,pattern,row_p,col_p,row_null_mean,row_p_fdr,col_p_fdr
mastoid,prestim_-0.50_to_0.00s,FP1,-0.1924464496629584,0.5922892699155132,0.6227697931378249,0.3423809523809524,0.1675,0.7540620090566957,0.000999000999000999,0.000999000999000999,0.19991083333333337,True,True
mastoid,prestim_-0.50_to_0.00s,FPZ,0.0,0.622769793137825,0.622769793137825,0.3555952380952381,0.13726190476190475,1.0,0.000999000999000999,0.000999000999000999,0.19982559523809523,True,True
mastoid,prestim_-0.50_to_0.00s,FP2,0.1924464496629584,0.5922892699155132,0.6227697931378249,0.3514285714285714,0.15428571428571428,0.8177716577105295,0.000999000999000999,0.000999000999000999,0.1997607142857143,True,True
mastoid,prestim_-0.50_to_0.00s,AF3,-0.19572631237744492,0.46110229606836256,0.500923264379275,0.33845238095238095,0.17142857142857143,0.9500923282038782,0.000999000999000999,0.000999000999000999,0.20007690476190476,True,True
mastoid,prestim_-0.50_to_0.00s,AF4,0.19572631237744492,0.46110229606836256,0.500923264379275,0.3539285714285714,0.16047619047619047,0.9842590730894832,0.000999000999000999,0.000999000999000999,0.20005511904761902,True,True
mastoid,prestim_-0.50_to_0.00s,F7,-0.5038313462318709,0.36605489997964774,0.6227697931378249,0.25702380952380954,0.2907142857142857,0.5141196971601911,0.000999000999000999,0.000999000999000999,0.19967428571428572,True,True
mastoid,prestim_-0.50_to_0.00s,F5,-0.38316449267044905,0.3330798118805041,0.5076979313782504,0.27845238095238095,0.24273809523809523,0.577134504431168,0.000999000999000999,0.000999000999000999,0.19978738095238094,True,True
mastoid,prestim_-0.50_to_0.00s,F3,-0.2555991277378157,0.31563863605626796,0.4061510343108748,0.32357142857142857,0.19297619047619047,0.6529444456528448,0.000999000999000999,0.000999000999000999,0.19988154761904764,True,True
mastoid,prestim_-0.50_to_0.00s,F1,-0.12679132837194124,0.31381954998058037,0.3384652875855003,0.3522619047619048,0.15535714285714286,0.7308951498499294,0.000999000999000999,0.000999000999000999,0.19994107142857143,True,True
mastoid,prestim_-0.50_to_0.00s,FZ,0.0,0.31139098889535044,0.31139098889535044,0.3620238095238095,0.12892857142857142,0.9457517357964873,0.000999000999000999,0.13986013986013987,0.1998059523809524,True,False
mastoid,prestim_-0.50_to_0.00s,F2,0.12679132837194124,0.31381954998058037,0.3384652875855003,0.3582142857142857,0.1432142857142857,0.841854042152616,0.000999000999000999,0.000999000999000999,0.20001238095238097,True,True
