reference,window,channel,x,y,dist_cz,row_acc,col_acc,pattern,row_p,col_p,row_null_mean,row_p_fdr,col_p_fdr
csd,prestim_-0.50_to_0.00s,FP1,-0.1924464496629584,0.5922892699155132,0.6227697931378249,0.32071428571428573,0.18702380952380954,0.7365256954792351,0.000999000999000999,0.000999000999000999,0.2001430952380952,True,True
csd,prestim_-0.50_to_0.00s,FPZ,0.0,0.622769793137825,0.622769793137825,0.3514285714285714,0.1286904761904762,1.0,0.000999000999000999,0.16783216783216784,0.20011559523809525,True,False
csd,prestim_-0.50_to_0.00s,FP2,0.1924464496629584,0.5922892699155132,0.6227697931378249,0.3317857142857143,0.17476190476190476,0.832399579869206,0.000999000999000999,0.000999000999000999,0.20000440476190476,True,True
csd,prestim_-0.50_to_0.00s,AF3,-0.19572631237744492,0.46110229606836256,0.500923264379275,0.2563095238095238,0.21476190476190476,0.3168762621979574,0.000999000999000999,0.000999000999000999,0.19975369047619046,True,True
csd,prestim_-0.50_to_0.00s,AF4,0.19572631237744492,0.46110229606836256,0.500923264379275,0.25845238095238093,0.17857142857142858,0.2743655869740723,0.000999000999000999,0.000999000999000999,0.1999813095238095,True,True
csd,prestim_-0.50_to_0.00s,F7,-0.5038313462318709,0.36605489997964774,0.6227697931378249,0.2575,0.2792857142857143,0.20445134562856784,0.000999000999000999,0.000999000999000999,0.19993666666666668,True,True
csd,prestim_-0.50_to_0.00s,F5,-0.38316449267044905,0.3330798118805041,0.5076979313782504,0.2542857142857143,0.24226190476190476,0.12668989519761006,0.000999000999000999,0.000999000999000999,0.1996564285714286,True,True
csd,prestim_-0.50_to_0.00s,F3,-0.2555991277378157,0.31563863605626796,0.4061510343108748,0.24226190476190476,0.1680952380952381,0.10284322068885797,0.000999000999000999,0.000999000999000999,0.1997182142857143,True,True
csd,prestim_-0.50_to_0.00s,F1,-0.12679132837194124,0.31381954998058037,0.3384652875855003,0.22535714285714287,0.13440476190476192,0.10024212494761962,0.000999000999000999,0.005994005994005994,0.20015488095238096,True,True
csd,prestim_-0.50_to_0.00s,FZ,0.0,0.31139098889535044,0.31139098889535044,0.225,0.13345238095238096,0.09048653897844908,0.000999000999000999,0.006993006993006993,0.20000988095238098,True,True
csd,prestim_-0.50_to_0.00s,F2,0.12679132837194124,0.31381954998058037,0.3384652875855003,0.2311904761904762,0.15071428571428572,0.11080741503536576,0.000999000999000999,0.000999000999000999,0.19986333333333334,True,True
csd,prestim_-0.50_to_0.00s,F4,0.2555991277378157,0.31563863605626796,0.4061510343108748,0.23976190476190476,0.14511904761904762,0.12787526006398658,0.000999000999000999,0.000999000999000999,0.19978083333333335,True,True
csd,prestim_-0.50_to_0.00s,F6,0.38316449267044905,0.3330798118805041,0.5076979313782504,0.25452380952380954,0.2311904761904762,0.17047376920657822,0.000999000999000999,0.000999000999000999,0.19978345238095238,True,True
