reference,window,set,acc,ci_lo,ci_hi,n_above_null,n_subj,wilcoxon_p,cohens_d,bf01,perm_p,excess_ratio,radial_r,ap_coef,midline_rho,joint_acc
vertex,prestim_-0.50_to_0.00s,FRONT-5,0.3298809523809524,0.31035714285714283,0.35011904761904766,35,35,1.2288184818173672e-07,2.130985618302298,3.260237218059417e-12,nan,1.5294596165020338,0.49108315267879793,0.005969289694319785,0.4285714285714286,0.2813095238095238
vertex,prestim_-0.50_to_0.00s,FRONT-5-local,0.3227380952380952,0.30154761904761906,0.3447619047619048,35,35,1.2293869892543866e-07,1.8540373320928072,1.268557029905027e-10,nan,1.5294596165020338,0.49108315267879793,0.005969289694319785,0.4285714285714286,0.2813095238095238
vertex,prestim_-0.50_to_0.00s,OCC-9,0.2814285714285714,0.26571428571428574,0.2965476190476191,34,35,2.6766839903382417e-07,1.7288142471566432,7.348215665746126e-10,nan,1.5294596165020338,0.49108315267879793,0.005969289694319785,0.4285714285714286,0.2813095238095238
vertex,prestim_-0.50_to_0.00s,OCC-9-local,0.2819047619047619,0.2669047619047619,0.2966666666666667,33,35,1.7442705095611083e-07,1.7822785800028043,3.444022840052787e-10,nan,1.5294596165020338,0.49108315267879793,0.005969289694319785,0.4285714285714286,0.2813095238095238
vertex,prestim_-0.50_to_0.00s,RIM-4,0.3357142857142857,0.31821428571428567,0.35285714285714287,35,35,1.230524680559298e-07,2.544183569191305,2.3524239186491717e-14,nan,1.5294596165020338,0.49108315267879793,0.005969289694319785,0.4285714285714286,0.2813095238095238
vertex,prestimTRIM_-0.50_to_-0.10s,FRONT-5,0.32666666666666666,0.30738095238095237,0.34690476190476194,35,35,1.2276821430077342e-07,2.091306994711217,5.4083273774047654e-12,nan,1.466236811254395,0.5171085108591703,0.001643036861889366,0.4285714285714286,0.2758333333333333
vertex,prestimTRIM_-0.50_to_-0.10s,FRONT-5-local,0.31952380952380954,0.2980952380952381,0.3416666666666667,35,35,1.2316632742608505e-07,1.7875721831709002,3.197099512858047e-10,nan,1.466236811254395,0.5171085108591703,0.001643036861889366,0.4285714285714286,0.2758333333333333
vertex,prestimTRIM_-0.50_to_-0.10s,OCC-9,0.2861904761904762,0.270952380952381,0.300952380952381,34,35,1.8947595977956604e-07,1.880623969746638,8.808732507744633e-11,nan,1.466236811254395,0.5171085108591703,0.001643036861889366,0.4285714285714286,0.2758333333333333
vertex,prestimTRIM_-0.50_to_-0.10s,OCC-9-local,0.2869047619047619,0.2732142857142857,0.30036011904761883,34,35,1.8148219024555192e-07,2.0662716774091563,7.466271984991365e-12,nan,1.466236811254395,0.5171085108591703,0.001643036861889366,0.4285714285714286,0.2758333333333333
vertex,prestimTRIM_-0.50_to_-0.10s,RIM-4,0.3383333333333333,0.32011904761904764,0.35583333333333333,35,35,1.2259793238554776e-07,2.4988720462187417,3.925809280404967e-14,nan,1.466236811254395,0.5171085108591703,0.001643036861889366,0.4285714285714286,0.2758333333333333
vertex,stim_0.14_to_0.64s,FRONT-5,0.26857142857142857,0.255952380952381,0.2810714285714286,34,35,1.8068316509914636e-07,1.7774526136604796,3.6860822707283193e-10,nan,1.0697292069632487,0.5505632798925351,-0.012308057912752038,-0.09523809523809526,0.23535714285714285
vertex,stim_0.14_to_0.64s,FRONT-5-local,0.2639285714285714,0.2498809523809524,0.2785714285714285,34,35,2.06513872162921e-07,1.4355306807095902,5.765683013704268e-08,nan,1.0697292069632487,0.5505632798925351,-0.012308057912752038,-0.09523809523809526,0.23535714285714285
vertex,stim_0.14_to_0.64s,OCC-9,0.26321428571428573,0.25357142857142856,0.27333333333333326,35,35,1.2242785298206798e-07,2.1045108622622863,4.566943206582112e-12,nan,1.0697292069632487,0.5505632798925351,-0.012308057912752038,-0.09523809523809526,0.23535714285714285
vertex,stim_0.14_to_0.64s,OCC-9-local,0.2305952380952381,0.2204761904761905,0.24059523809523808,32,35,1.464907584548038e-05,0.9869790056628344,7.848980445896042e-05,nan,1.0697292069632487,0.5505632798925351,-0.012308057912752038,-0.09523809523809526,0.23535714285714285
vertex,stim_0.14_to_0.64s,RIM-4,0.2763095238095238,0.26154761904761903,0.29130952380952385,33,35,1.882893162473631e-07,1.6752399507920963,1.588814564856434e-09,nan,1.0697292069632487,0.5505632798925351,-0.012308057912752038,-0.09523809523809526,0.23535714285714285
vertex,late_1.14_to_2.64s,FRONT-5,0.25023809523809526,0.23726190476190478,0.2628571428571429,30,35,1.4463827095171633e-06,1.2861803617606546,6.021906838060619e-07,nan,1.7686249193027759,0.6803350923667466,0.0063169620268894375,0.09523809523809526,0.29
