reference,window,set,acc,ci_lo,ci_hi,n_above_null,n_subj,wilcoxon_p,cohens_d,bf01,perm_p,excess_ratio,radial_r,ap_coef,midline_rho,joint_acc,perm_p_fdr
average,prestim_-0.50_to_0.00s,FRONT-5,0.33226190476190476,0.31214285714285717,0.35297916666666646,35,35,2.9103830456733704e-11,2.1177621418497488,3.856698202212581e-12,0.000999000999000999,1.5118483412322279,0.5205921140369139,0.010964795884311263,0.4285714285714286,0.2830952380952381,True
average,prestim_-0.50_to_0.00s,FRONT-5-local,0.3227380952380952,0.30154761904761906,0.3447619047619048,35,35,2.9103830456733704e-11,1.8513770402891319,1.315915173124953e-10,0.000999000999000999,1.5118483412322279,0.5205921140369139,0.010964795884311263,0.4285714285714286,0.2830952380952381,True
average,prestim_-0.50_to_0.00s,OCC-9,0.30904761904761907,0.29309523809523813,0.32523809523809527,35,35,2.9103830456733704e-11,2.215444122144374,1.1322691899094997e-12,0.000999000999000999,1.5118483412322279,0.5205921140369139,0.010964795884311263,0.4285714285714286,0.2830952380952381,True
average,prestim_-0.50_to_0.00s,OCC-9-local,0.2819047619047619,0.2669047619047619,0.2966666666666667,33,35,1.4551915228366852e-10,1.7883341108533646,3.1630770752755674e-10,0.000999000999000999,1.5118483412322279,0.5205921140369139,0.010964795884311263,0.4285714285714286,0.2830952380952381,True
average,prestim_-0.50_to_0.00s,RIM-4,0.36142857142857143,0.3439285714285715,0.37892857142857145,35,35,2.9103830456733704e-11,2.985071926355838,2.235198502378865e-16,0.000999000999000999,1.5118483412322279,0.5205921140369139,0.010964795884311263,0.4285714285714286,0.2830952380952381,True
average,prestimTRIM_-0.50_to_-0.10s,FRONT-5,0.33535714285714285,0.31464285714285717,0.35583333333333333,35,35,2.9103830456733704e-11,2.1415376394729706,2.852530570191353e-12,0.000999000999000999,1.503073119039209,0.564660089306873,0.011359497350951792,0.4285714285714286,0.2788095238095238,True
average,prestimTRIM_-0.50_to_-0.10s,FRONT-5-local,0.31952380952380954,0.2980952380952381,0.3416666666666667,35,35,2.9103830456733704e-11,1.7866231673820399,3.239998990005814e-10,0.000999000999000999,1.503073119039209,0.564660089306873,0.011359497350951792,0.4285714285714286,0.2788095238095238,True
average,prestimTRIM_-0.50_to_-0.10s,OCC-9,0.30738095238095237,0.2910714285714286,0.3239285714285715,35,35,2.9103830456733704e-11,2.1283339768885807,3.371768123603984e-12,0.000999000999000999,1.503073119039209,0.564660089306873,0.011359497350951792,0.4285714285714286,0.2788095238095238,True
average,prestimTRIM_-0.50_to_-0.10s,OCC-9-local,0.2869047619047619,0.2732142857142857,0.30036011904761883,35,35,2.9103830456733704e-11,2.081754467030896,6.114676417110982e-12,0.000999000999000999,1.503073119039209,0.564660089306873,0.011359497350951792,0.4285714285714286,0.2788095238095238,True
average,prestimTRIM_-0.50_to_-0.10s,RIM-4,0.36214285714285716,0.3438095238095238,0.38011904761904763,35,35,2.9103830456733704e-11,2.8922993934238868,5.684081268606359e-16,0.000999000999000999,1.503073119039209,0.564660089306873,0.011359497350951792,0.4285714285714286,0.2788095238095238,True
average,stim_0.14_to_0.64s,FRONT-5,0.28559523809523807,0.27214285714285713,0.299047619047619,35,35,2.9103830456733704e-11,2.0669343304181393,7.402587821887118e-12,0.000999000999000999,1.4846034214618986,0.4669777540146455,0.008391160958162051,0.19047619047619052,0.23452380952380952,True
average,stim_0.14_to_0.64s,FRONT-5-local,0.2639285714285714,0.2498809523809524,0.2785714285714285,34,35,4.0745362639427185e-10,1.4350153312731835,5.811768278143646e-08,0.000999000999000999,1.4846034214618986,0.4669777540146455,0.008391160958162051,0.19047619047619052,0.23452380952380952,True
average,stim_0.14_to_0.64s,OCC-9,0.2625,0.251547619047619,0.2732142857142857,34,35,5.820766091346741e-11,1.893419623523817,7.39814858212797e-11,0.000999000999000999,1.4846034214618986,0.4669777540146455,0.008391160958162051,0.19047619047619052,0.23452380952380952,True
average,stim_0.14_to_0.64s,OCC-9-local,0.2305952380952381,0.2204761904761905,0.24059523809523808,32,35,1.6274861991405487e-06,0.9872409655444272,7.815252879542607e-05,0.000999000999000999,1.4846034214618986,0.4669777540146455,0.008391160958162051,0.19047619047619052,0.23452380952380952,True
average,stim_0.14_to_0.64s,RIM-4,0.2817857142857143,0.27,0.29345238095238096,35,35,2.9103830456733704e-11,2.2656038975278747,6.117771026373965e-13,0.000999000999000999,1.4846034214618986,0.4669777540146455,0.008391160958162051,0.19047619047619052,0.23452380952380952,True
average,late_1.14_to_2.64s,FRONT-5,0.27095238095238094,0.2571428571428571,0.2852380952380952,33,35,2.9103830456733704e-10,1.656035570600964,2.1006774576454057e-09,0.000999000999000999,2.525237191650857,0.5767133342417137,0.015354622162248519,0.1666666666666667,0.29333333333333333,True
average,late_1.14_to_2.64s,FRONT-5-local,0.24059523809523808,0.2311904761904762,0.2503571428571429,32,35,4.918547347187996e-09,1.3655079899163314,1.7157403119151249e-07,0.000999000999000999,2.525237191650857,0.5767133342417137,0.015354622162248519,0.1666666666666667,0.29333333333333333,True
average,late_1.14_to_2.64s,OCC-9,0.22488095238095238,0.21464285714285714,0.23595238095238094,29,35,2.0804116502404213e-05,0.7650875090739089,0.0028826707981073675,0.000999000999000999,2.525237191650857,0.5767133342417137,0.015354622162248519,0.1666666666666667,0.29333333333333333,True
average,late_1.14_to_2.64s,OCC-9-local,0.21202380952380953,0.2030952380952381,0.22154761904761902,26,35,0.007912247616332024,0.4186824284585991,0.3910261153374305,0.00999000999000999,2.525237191650857,0.5767133342417137,0.015354622162248519,0.1666666666666667,0.29333333333333333,True
average,late_1.14_to_2.64s,RIM-4,0.2670238095238095,0.25595238095238093,0.27845238095238095,35,35,2.9103830456733704e-11,1.9280362951075998,4.6293535006554483e-11,0.000999000999000999,2.525237191650857,0.5767133342417137,0.015354622162248519,0.1666666666666667,0.29333333333333333,True
