condition,window,channels,acc,row_acc,col_acc,null_mean,z,p_emp,null_row_mean,z_row,p_row,null_col_mean,z_col,p_col
raw,pre-stim_-0.50_to_0.00s,FRONT-5,0.11,0.32166666666666666,0.30726190476190474,0.025039285714285712,45.741664078902424,0.004975124378109453,0.20048333333333332,28.336424694997554,0.004975124378109453,0.12480059523809522,48.71904390960807,0.004975124378109453
raw,pre-stim_-0.50_to_0.00s,OCC-9,0.0575,0.2758333333333333,0.19130952380952382,0.024975595238095238,18.4543715060884,0.004975124378109453,0.20015416666666666,17.366215520767295,0.004975124378109453,0.12482916666666666,18.042445161183124,0.004975124378109453
raw,window_0.14_to_0.64s,FRONT-5,0.06785714285714285,0.25785714285714284,0.23488095238095238,0.02529642857142857,22.661082700441156,0.004975124378109453,0.20015595238095238,13.22543551799836,0.004975124378109453,0.1251267857142857,27.897600186687974,0.004975124378109453
raw,window_0.14_to_0.64s,OCC-9,0.045714285714285714,0.25857142857142856,0.16738095238095238,0.024829761904761903,13.385209924290933,0.004975124378109453,0.19975952380952378,13.133516545846458,0.004975124378109453,0.1249375,10.83772594237001,0.004975124378109453
raw,window_0.14_to_1.14s,FRONT-5,0.06869047619047619,0.2542857142857143,0.23607142857142857,0.025099999999999997,24.783242579601882,0.004975124378109453,0.19945714285714286,13.442981372403297,0.004975124378109453,0.12483154761904762,30.426018871743015,0.004975124378109453
raw,window_0.14_to_1.14s,OCC-9,0.045,0.24869047619047618,0.17083333333333334,0.025057142857142858,12.008288574763325,0.004975124378109453,0.20031904761904762,11.079237720839036,0.004975124378109453,0.1251982142857143,12.57451611989714,0.004975124378109453
raw,late_1.14_to_2.64s,FRONT-5,0.05452380952380952,0.23761904761904762,0.2,0.0250827380952381,17.413667747852593,0.004975124378109453,0.19985714285714287,8.665243662282883,0.004975124378109453,0.12532142857142856,22.720785932811452,0.004975124378109453
raw,late_1.14_to_2.64s,OCC-9,0.030714285714285715,0.21595238095238095,0.14452380952380953,0.025150000000000002,3.114766162191886,0.004975124378109453,0.19947916666666665,3.7330889449703024,0.004975124378109453,0.12513928571428573,4.955955815874486,0.004975124378109453
EOG-regressed,pre-stim_-0.50_to_0.00s,FRONT-5,0.05785714285714286,0.2117857142857143,0.23476190476190475,0.024847619047619052,18.551470000735534,0.004975124378109453,0.20027916666666667,2.61209501964701,0.009950248756218905,0.12497678571428572,28.864283123627697,0.004975124378109453
EOG-regressed,pre-stim_-0.50_to_0.00s,OCC-9,0.0455952380952381,0.24773809523809523,0.16607142857142856,0.02494285714285714,12.961607142466764,0.004975124378109453,0.19955416666666664,10.558735817606678,0.004975124378109453,0.12471488095238095,10.951915596822415,0.004975124378109453
EOG-regressed,window_0.14_to_0.64s,FRONT-5,0.03535714285714286,0.20095238095238097,0.1763095238095238,0.024936309523809524,5.852634489555168,0.004975124378109453,0.1999970238095238,0.23180799562759338,0.3880597014925373,0.1249327380952381,13.75416736479971,0.004975124378109453
EOG-regressed,window_0.14_to_0.64s,OCC-9,0.03988095238095238,0.2454761904761905,0.15511904761904763,0.024923809523809525,9.050946101553949,0.004975124378109453,0.19998035714285714,10.222350199684778,0.004975124378109453,0.12519880952380952,7.407171998768462,0.004975124378109453
EOG-regressed,window_0.14_to_1.14s,FRONT-5,0.03940476190476191,0.1988095238095238,0.1886904761904762,0.024741666666666672,9.147890680033345,0.004975124378109453,0.19966964285714286,-0.2055067436917,0.5870646766169154,0.12471607142857141,17.325745456848924,0.004975124378109453
EOG-regressed,window_0.14_to_1.14s,OCC-9,0.03726190476190476,0.23857142857142857,0.15476190476190477,0.024969047619047623,7.1344589949259705,0.004975124378109453,0.19994821428571427,8.279980801245078,0.004975124378109453,0.1247809523809524,8.228713267508216,0.004975124378109453
EOG-regressed,late_1.14_to_2.64s,FRONT-5,0.03226190476190476,0.1944047619047619,0.1594047619047619,0.025226785714285712,4.185425669640142,0.004975124378109453,0.2004452380952381,-1.4726634884450773,0.9552238805970149,0.12493869047619047,9.660701306957971,0.004975124378109453
EOG-regressed,late_1.14_to_2.64s,OCC-9,0.02642857142857143,0.2092857142857143,0.13107142857142856,0.02509642857142857,0.7929799974497416,0.22388059701492538,0.19978154761904762,2.0785261105613793,0.029850746268656716,0.1253047619047619,1.703830985693285,0.05970149253731343
