reference,window,set,acc,ci_lo,ci_hi,n_above_null,n_subj,wilcoxon_p,cohens_d,bf01,perm_p,excess_ratio,radial_r,ap_coef,midline_rho,joint_acc,perm_p_fdr
vertex,prestim_-0.50_to_0.00s,FRONT-5,0.3298809523809524,0.31035714285714283,0.35011904761904766,35,35,2.9103830456733704e-11,2.1407462772846695,2.8812116532200386e-12,0.000999000999000999,1.5294596165020338,0.49108315267879793,0.005969289694319785,0.4285714285714286,0.2813095238095238,True
vertex,prestim_-0.50_to_0.00s,FRONT-5-local,0.3227380952380952,0.30154761904761906,0.3447619047619048,35,35,2.9103830456733704e-11,1.8513770402891319,1.315915173124953e-10,0.000999000999000999,1.5294596165020338,0.49108315267879793,0.005969289694319785,0.4285714285714286,0.2813095238095238,True
vertex,prestim_-0.50_to_0.00s,OCC-9,0.2814285714285714,0.26571428571428574,0.2965476190476191,34,35,9.604264050722122e-10,1.7363965023670016,6.594739206873232e-10,0.000999000999000999,1.5294596165020338,0.49108315267879793,0.005969289694319785,0.4285714285714286,0.2813095238095238,True
vertex,prestim_-0.50_to_0.00s,OCC-9-local,0.2819047619047619,0.2669047619047619,0.2966666666666667,33,35,1.4551915228366852e-10,1.788330822898763,3.163223095919102e-10,0.000999000999000999,1.5294596165020338,0.49108315267879793,0.005969289694319785,0.4285714285714286,0.2813095238095238,True
vertex,prestim_-0.50_to_0.00s,RIM-4,0.3357142857142857,0.31821428571428567,0.35285714285714287,35,35,2.9103830456733704e-11,2.5416130433153508,2.4213391210854146e-14,0.000999000999000999,1.5294596165020338,0.49108315267879793,0.005969289694319785,0.4285714285714286,0.2813095238095238,True
vertex,prestimTRIM_-0.50_to_-0.10s,FRONT-5,0.32666666666666666,0.30738095238095237,0.34690476190476194,35,35,2.9103830456733704e-11,2.0958069193614417,5.105081285729321e-12,0.000999000999000999,1.466236811254395,0.5171085108591703,0.001643036861889366,0.4285714285714286,0.2758333333333333,True
vertex,prestimTRIM_-0.50_to_-0.10s,FRONT-5-local,0.31952380952380954,0.2980952380952381,0.3416666666666667,35,35,2.9103830456733704e-11,1.7866231673820399,3.239998990005814e-10,0.000999000999000999,1.466236811254395,0.5171085108591703,0.001643036861889366,0.4285714285714286,0.2758333333333333,True
vertex,prestimTRIM_-0.50_to_-0.10s,OCC-9,0.2861904761904762,0.270952380952381,0.300952380952381,34,35,2.9103830456733704e-10,1.889562810960858,7.797173939385785e-11,0.000999000999000999,1.466236811254395,0.5171085108591703,0.001643036861889366,0.4285714285714286,0.2758333333333333,True
vertex,prestimTRIM_-0.50_to_-0.10s,OCC-9-local,0.2869047619047619,0.2732142857142857,0.30036011904761883,35,35,2.9103830456733704e-11,2.081743836069333,6.115512996699397e-12,0.000999000999000999,1.466236811254395,0.5171085108591703,0.001643036861889366,0.4285714285714286,0.2758333333333333,True
vertex,prestimTRIM_-0.50_to_-0.10s,RIM-4,0.3383333333333333,0.32011904761904764,0.35583333333333333,35,35,2.9103830456733704e-11,2.4952252557487316,4.0921959180506204e-14,0.000999000999000999,1.466236811254395,0.5171085108591703,0.001643036861889366,0.4285714285714286,0.2758333333333333,True
