condition,window,channels,acc,row_acc,col_acc,null_mean,z,p_emp,null_row_mean,z_row,p_row,null_col_mean,z_col,p_col
raw,pre-stim_-0.50_to_0.00s,FRONT-5,0.059166666666666666,0.245,0.22666666666666666,0.02512083333333334,7.95351714189918,0.004975124378109453,0.20171666666666666,3.870337566435289,0.004975124378109453,0.12572083333333336,11.400403112482532,0.004975124378109453
raw,pre-stim_-0.50_to_0.00s,OCC-9,0.06333333333333334,0.25333333333333335,0.21,0.0251125,7.968098720208771,0.004975124378109453,0.19901666666666668,4.368097982178235,0.004975124378109453,0.12537916666666665,8.859700503114986,0.004975124378109453
raw,window_0.14_to_0.64s,FRONT-5,0.04833333333333333,0.25333333333333335,0.17416666666666666,0.024925000000000003,5.603724460896427,0.004975124378109453,0.2004125,4.509100550675154,0.004975124378109453,0.12517083333333331,5.277103885064215,0.004975124378109453
raw,window_0.14_to_0.64s,OCC-9,0.03666666666666667,0.22083333333333333,0.15916666666666668,0.024783333333333334,2.5347094635134453,0.009950248756218905,0.20080833333333334,1.7463746775140099,0.04477611940298507,0.12482500000000002,3.315975187869812,0.009950248756218905
raw,window_0.14_to_1.14s,FRONT-5,0.04583333333333333,0.23333333333333334,0.18083333333333335,0.0248875,4.7376053300173835,0.004975124378109453,0.1996,3.1213301317434348,0.004975124378109453,0.12446249999999999,5.369113488366124,0.004975124378109453
raw,window_0.14_to_1.14s,OCC-9,0.03916666666666667,0.2075,0.165,0.024433333333333335,3.2454858983340182,0.009950248756218905,0.19892916666666666,0.7737739243734438,0.2537313432835821,0.12455000000000002,4.152487079445476,0.004975124378109453
raw,late_1.14_to_2.64s,FRONT-5,0.045,0.235,0.1725,0.024970833333333334,4.321104096460631,0.004975124378109453,0.20022500000000001,2.9096886308488976,0.004975124378109453,0.12555833333333333,4.484925928212175,0.004975124378109453
raw,late_1.14_to_2.64s,OCC-9,0.03833333333333333,0.23,0.14833333333333334,0.025062500000000005,2.644609041883289,0.009950248756218905,0.20095416666666666,2.293146096469821,0.024875621890547265,0.12494166666666667,2.452204164750393,0.009950248756218905
EOG-regressed,pre-stim_-0.50_to_0.00s,FRONT-5,0.04083333333333333,0.20583333333333334,0.17833333333333334,0.025108333333333333,3.693359194351902,0.004975124378109453,0.19980416666666667,0.5406406369161727,0.2736318407960199,0.1251375,6.081214136079408,0.004975124378109453
EOG-regressed,pre-stim_-0.50_to_0.00s,OCC-9,0.0375,0.21333333333333335,0.15666666666666668,0.024720833333333338,3.063444464531129,0.009950248756218905,0.20004166666666667,1.198050875487278,0.1044776119402985,0.12520416666666667,3.3901559825446745,0.004975124378109453
EOG-regressed,window_0.14_to_0.64s,FRONT-5,0.0325,0.20833333333333334,0.14416666666666667,0.02532916666666667,1.5838644829019315,0.05970149253731343,0.20065000000000002,0.6539905574008756,0.2736318407960199,0.125125,2.0444854234731684,0.01990049751243781
EOG-regressed,window_0.14_to_0.64s,OCC-9,0.0325,0.2175,0.135,0.02470416666666667,1.6899891641514568,0.05970149253731343,0.20042916666666666,1.5105877691704737,0.04975124378109453,0.12365416666666665,1.1720030314215881,0.1044776119402985
EOG-regressed,window_0.14_to_1.14s,FRONT-5,0.03333333333333333,0.20833333333333334,0.14666666666666667,0.025162500000000004,1.7317467819784327,0.05472636815920398,0.20138749999999997,0.611825347731468,0.2835820895522388,0.12465416666666668,2.4622672336274647,0.01990049751243781
EOG-regressed,window_0.14_to_1.14s,OCC-9,0.03166666666666667,0.2225,0.13916666666666666,0.024733333333333336,1.428185992489583,0.11442786069651742,0.19965833333333333,1.9342863584997771,0.014925373134328358,0.1245625,1.4184700366499403,0.0845771144278607
EOG-regressed,late_1.14_to_2.64s,FRONT-5,0.03166666666666667,0.19833333333333333,0.14083333333333334,0.025495833333333336,1.3916680731675304,0.1044776119402985,0.20104166666666665,-0.21874677325381586,0.5870646766169154,0.1251,1.6564901062098656,0.07462686567164178
EOG-regressed,late_1.14_to_2.64s,OCC-9,0.02666666666666667,0.22833333333333333,0.12916666666666668,0.025366666666666666,0.27151401378171935,0.40298507462686567,0.20091666666666666,2.3288401780212418,0.01990049751243781,0.12571666666666667,0.38118217967906315,0.373134328358209
