reference,window,set,acc,ci_lo,ci_hi,n_above_null,n_subj,wilcoxon_p,cohens_d,bf01,perm_p,excess_ratio,radial_r,ap_coef,midline_rho,joint_acc
vertex,prestim_-0.50_to_0.00s,FRONT-5,0.245,0.2066666666666667,0.2741666666666666,4,5,0.0625,1.0789216172788476,0.5911940686671391,nan,1.0841498559077811,0.5142071306017364,-0.020226820279511226,-0.11904761904761905,0.245
vertex,prestim_-0.50_to_0.00s,FRONT-5-local,0.24416666666666667,0.21833333333333335,0.26666666666666666,4,5,0.0625,1.4451559902981252,0.3272411491271485,nan,1.0841498559077811,0.5142071306017364,-0.020226820279511226,-0.11904761904761905,0.245
vertex,prestim_-0.50_to_0.00s,OCC-9,0.2758333333333333,0.24500000000000002,0.3158333333333333,5,5,0.03125,1.6920169467788584,0.2286267219997346,nan,1.0841498559077811,0.5142071306017364,-0.020226820279511226,-0.11904761904761905,0.245
vertex,prestim_-0.50_to_0.00s,OCC-9-local,0.2658333333333333,0.22999999999999998,0.305,5,5,0.03125,1.403682157387797,0.3486738654619821,nan,1.0841498559077811,0.5142071306017364,-0.020226820279511226,-0.11904761904761905,0.245
vertex,prestim_-0.50_to_0.00s,RIM-4,0.3175,0.26916666666666667,0.34833333333333333,5,5,0.03125,2.2280136767156455,0.11618636010261851,nan,1.0841498559077811,0.5142071306017364,-0.020226820279511226,-0.11904761904761905,0.245
vertex,prestimTRIM_-0.50_to_-0.10s,FRONT-5,0.2608333333333333,0.21999999999999997,0.2975,4,5,0.0625,1.2741498068596238,0.4276221884503119,nan,0.8988173455978972,0.509846209333103,-0.026947324935647027,-0.28571428571428575,0.24916666666666668
vertex,prestimTRIM_-0.50_to_-0.10s,FRONT-5-local,0.25833333333333336,0.2333333333333333,0.2866666666666667,5,5,0.03125,1.6793284028830422,0.23269930691858778,nan,0.8988173455978972,0.509846209333103,-0.026947324935647027,-0.28571428571428575,0.24916666666666668
vertex,prestimTRIM_-0.50_to_-0.10s,OCC-9,0.275,0.2475,0.30583333333333335,5,5,0.03125,2.0995626366125193,0.1350940143358819,nan,0.8988173455978972,0.509846209333103,-0.026947324935647027,-0.28571428571428575,0.24916666666666668
vertex,prestimTRIM_-0.50_to_-0.10s,OCC-9-local,0.26,0.22583333333333333,0.3083333333333333,5,5,0.03125,1.1303247369859846,0.5419072155587091,nan,0.8988173455978972,0.509846209333103,-0.026947324935647027,-0.28571428571428575,0.24916666666666668
vertex,prestimTRIM_-0.50_to_-0.10s,RIM-4,0.31166666666666665,0.27999999999999997,0.3375,5,5,0.03125,2.8782283413255096,0.059226861274364606,nan,0.8988173455978972,0.509846209333103,-0.026947324935647027,-0.28571428571428575,0.24916666666666668
