reference,window,channel,x,y,dist_cz,row_acc,col_acc,pattern,row_p,col_p,row_null_mean,row_p_fdr,col_p_fdr
average,prestim_-0.50_to_0.00s,FP1,-0.1924464496629584,0.5922892699155132,0.6227697931378249,0.31107142857142855,0.1813095238095238,0.5951382161777994,0.000999000999000999,0.000999000999000999,0.19981011904761906,True,True
average,prestim_-0.50_to_0.00s,FPZ,0.0,0.622769793137825,0.622769793137825,0.33940476190476193,0.13035714285714287,0.813568905836206,0.000999000999000999,0.08791208791208792,0.19986738095238094,True,False
average,prestim_-0.50_to_0.00s,FP2,0.1924464496629584,0.5922892699155132,0.6227697931378249,0.32345238095238094,0.16416666666666666,0.5983140503451236,0.000999000999000999,0.000999000999000999,0.19985214285714287,True,True
average,prestim_-0.50_to_0.00s,AF3,-0.19572631237744492,0.46110229606836256,0.500923264379275,0.29285714285714287,0.20083333333333334,0.9556173260698967,0.000999000999000999,0.000999000999000999,0.19986404761904764,True,True
average,prestim_-0.50_to_0.00s,AF4,0.19572631237744492,0.46110229606836256,0.500923264379275,0.3028571428571429,0.19071428571428573,1.0,0.000999000999000999,0.000999000999000999,0.19986690476190475,True,True
average,prestim_-0.50_to_0.00s,F7,-0.5038313462318709,0.36605489997964774,0.6227697931378249,0.21916666666666668,0.34833333333333333,0.2512803286823399,0.000999000999000999,0.000999000999000999,0.19978916666666666,True,True
average,prestim_-0.50_to_0.00s,F5,-0.38316449267044905,0.3330798118805041,0.5076979313782504,0.2276190476190476,0.3175,0.3522602506898002,0.000999000999000999,0.000999000999000999,0.1997967857142857,True,True
average,prestim_-0.50_to_0.00s,F3,-0.2555991277378157,0.31563863605626796,0.4061510343108748,0.25952380952380955,0.2507142857142857,0.5533996899409503,0.000999000999000999,0.000999000999000999,0.19972476190476193,True,True
average,prestim_-0.50_to_0.00s,F1,-0.12679132837194124,0.31381954998058037,0.3384652875855003,0.2907142857142857,0.18833333333333332,0.7556401800159993,0.000999000999000999,0.000999000999000999,0.19985607142857145,True,True
average,prestim_-0.50_to_0.00s,FZ,0.0,0.31139098889535044,0.31139098889535044,0.3053571428571429,0.13047619047619047,0.6265055196436508,0.000999000999000999,0.08291708291708291,0.1998319047619048,True,False
average,prestim_-0.50_to_0.00s,F2,0.12679132837194124,0.31381954998058037,0.3384652875855003,0.30916666666666665,0.17023809523809524,0.9085149611302119,0.000999000999000999,0.000999000999000999,0.19983892857142857,True,True
average,prestim_-0.50_to_0.00s,F4,0.2555991277378157,0.31563863605626796,0.4061510343108748,0.2708333333333333,0.23333333333333334,0.6638128547452636,0.000999000999000999,0.000999000999000999,0.20019285714285712,True,True
average,prestim_-0.50_to_0.00s,F6,0.38316449267044905,0.3330798118805041,0.5076979313782504,0.2386904761904762,0.2985714285714286,0.3496067971652384,0.000999000999000999,0.000999000999000999,0.19991499999999998,True,True
average,prestim_-0.50_to_0.00s,F8,0.5038313462318709,0.36605489997964774,0.6227697931378249,0.22226190476190477,0.3413095238095238,0.21207256282952203,0.000999000999000999,0.000999000999000999,0.19990940476190477,True,True
average,prestim_-0.50_to_0.00s,FT7,-0.5922892699155132,0.19244644966295846,0.622769793137825,0.23226190476190475,0.3294047619047619,0.15203452126577205,0.000999000999000999,0.000999000999000999,0.20000476190476188,True,True
average,prestim_-0.50_to_0.00s,FC5,-0.4486894406361628,0.17223573916038115,0.4806114480352247,0.2305952380952381,0.3398809523809524,0.23885843112239177,0.000999000999000999,0.000999000999000999,0.19971559523809526,True,True
average,prestim_-0.50_to_0.00s,FC3,-0.2988471109399219,0.15889982751154078,0.33846528758550026,0.2423809523809524,0.26535714285714285,0.4051690819060473,0.000999000999000999,0.000999000999000999,0.19973547619047619,True,True
average,prestim_-0.50_to_0.00s,FC1,-0.15317259329874983,0.15317259329874983,0.21661875882695025,0.2538095238095238,0.20404761904761906,0.504036335855227,0.000999000999000999,0.000999000999000999,0.19986083333333335,True,True
average,prestim_-0.50_to_0.00s,FCz,0.0,0.15569549444767522,0.15569549444767522,0.2758333333333333,0.13333333333333333,0.2932955136863958,0.000999000999000999,0.014985014985014986,0.19999571428571428,True,True
average,prestim_-0.50_to_0.00s,FC2,0.15317259329874983,0.15317259329874983,0.21661875882695025,0.2729761904761905,0.19916666666666666,0.4860990922419973,0.000999000999000999,0.000999000999000999,0.19969702380952378,True,True
average,prestim_-0.50_to_0.00s,FC4,0.2988471109399219,0.15889982751154078,0.33846528758550026,0.25142857142857145,0.2567857142857143,0.332528407813624,0.000999000999000999,0.000999000999000999,0.19989238095238096,True,True
average,prestim_-0.50_to_0.00s,FC6,0.4486894406361628,0.17223573916038115,0.4806114480352247,0.21773809523809523,0.3455952380952381,0.23623805087546992,0.000999000999000999,0.000999000999000999,0.20005809523809523,True,True
average,prestim_-0.50_to_0.00s,FT8,0.5922892699155132,0.19244644966295846,0.622769793137825,0.2255952380952381,0.35892857142857143,0.384027220636906,0.000999000999000999,0.000999000999000999,0.2000235714285714,True,True
average,prestim_-0.50_to_0.00s,T7,-0.622769793137825,3.8133651688594835e-17,0.622769793137825,0.2438095238095238,0.2985714285714286,0.27818349360925726,0.000999000999000999,0.000999000999000999,0.19981571428571432,True,True
average,prestim_-0.50_to_0.00s,C5,-0.4670742986901498,2.860005224274434e-17,0.4670742986901498,0.2219047619047619,0.3244047619047619,0.09847921681155872,0.000999000999000999,0.000999000999000999,0.19989904761904762,True,True
average,prestim_-0.50_to_0.00s,C3,-0.31139098889535044,1.9067198891700998e-17,0.31139098889535044,0.22238095238095237,0.2745238095238095,0.11227450625736118,0.000999000999000999,0.000999000999000999,0.20004488095238093,True,True
average,prestim_-0.50_to_0.00s,C1,-0.15569549444767522,9.533599445850499e-18,0.15569549444767522,0.22071428571428572,0.20023809523809524,0.12948828686243039,0.000999000999000999,0.000999000999000999,0.2001197619047619,True,True
average,prestim_-0.50_to_0.00s,Cz,0.0,0.0,0.0,0.22166666666666668,0.12833333333333333,0.1261023257892928,0.000999000999000999,0.16383616383616384,0.20014261904761907,True,False
average,prestim_-0.50_to_0.00s,C2,0.15569549444767522,9.533599445850499e-18,0.15569549444767522,0.2194047619047619,0.19940476190476192,0.11716990378182864,0.001998001998001998,0.000999000999000999,0.1999814285714286,True,True
average,prestim_-0.50_to_0.00s,C4,0.31139098889535044,1.9067198891700998e-17,0.31139098889535044,0.21904761904761905,0.26857142857142857,0.1185818887983802,0.000999000999000999,0.000999000999000999,0.20007285714285714,True,True
average,prestim_-0.50_to_0.00s,C6,0.4670742986901498,2.860005224274434e-17,0.4670742986901498,0.22452380952380951,0.33404761904761904,0.37807293484366067,0.000999000999000999,0.000999000999000999,0.19990023809523808,True,True
average,prestim_-0.50_to_0.00s,T8,0.622769793137825,3.8133651688594835e-17,0.622769793137825,0.2317857142857143,0.3155952380952381,0.5349417913737764,0.000999000999000999,0.000999000999000999,0.20000309523809523,True,True
