reference,window,set,acc,ci_lo,ci_hi,n_above_null,n_subj,wilcoxon_p,cohens_d,bf01,perm_p,excess_ratio,radial_r,ap_coef,midline_rho,joint_acc,perm_p_fdr
csd,prestim_-0.50_to_0.00s,FRONT-5,0.3526190476190476,0.3314285714285714,0.37559523809523804,35,35,2.9103830456733704e-11,2.2557633391559015,6.898117748039594e-13,0.000999000999000999,4.309120879120883,0.34726706133353225,0.05527493694411011,-0.19047619047619052,0.28,True
csd,prestim_-0.50_to_0.00s,FRONT-5-local,0.3464285714285714,0.3248809523809524,0.3689285714285715,35,35,2.9103830456733704e-11,2.1703890641018675,1.9839254302223287e-12,0.000999000999000999,4.309120879120883,0.34726706133353225,0.05527493694411011,-0.19047619047619052,0.28,True
csd,prestim_-0.50_to_0.00s,OCC-9,0.2530952380952381,0.24023809523809528,0.26571428571428574,33,35,2.2177118808031082e-08,1.353241100921287,2.08059095498668e-07,0.000999000999000999,4.309120879120883,0.34726706133353225,0.05527493694411011,-0.19047619047619052,0.28,True
csd,prestim_-0.50_to_0.00s,OCC-9-local,0.251547619047619,0.23726190476190478,0.2654761904761905,30,35,1.919688656926155e-07,1.1795633153820393,3.3512339948267906e-06,0.000999000999000999,4.309120879120883,0.34726706133353225,0.05527493694411011,-0.19047619047619052,0.28,True
csd,prestim_-0.50_to_0.00s,RIM-4,0.3230952380952381,0.3033303571428571,0.34404761904761905,35,35,2.9103830456733704e-11,1.9534925960662834,3.289483374790913e-11,0.000999000999000999,4.309120879120883,0.34726706133353225,0.05527493694411011,-0.19047619047619052,0.28,True
csd,prestimTRIM_-0.50_to_-0.10s,FRONT-5,0.34845238095238096,0.3282142857142857,0.37,35,35,2.9103830456733704e-11,2.29836318934568,4.1126299349815134e-13,0.000999000999000999,4.235640326975485,0.34123230653153147,0.056364503362451274,-0.07142857142857144,0.2717857142857143,True
csd,prestimTRIM_-0.50_to_-0.10s,FRONT-5-local,0.3407142857142857,0.3183303571428571,0.36440476190476184,35,35,2.9103830456733704e-11,1.9961851359842029,1.8654132727767257e-11,0.000999000999000999,4.235640326975485,0.34123230653153147,0.056364503362451274,-0.07142857142857144,0.2717857142857143,True
csd,prestimTRIM_-0.50_to_-0.10s,OCC-9,0.2509523809523809,0.2382142857142857,0.26309523809523805,33,35,1.4484976418316364e-07,1.327752095835922,3.110833006842742e-07,0.000999000999000999,4.235640326975485,0.34123230653153147,0.056364503362451274,-0.07142857142857144,0.2717857142857143,True
csd,prestimTRIM_-0.50_to_-0.10s,OCC-9-local,0.2555952380952381,0.2417857142857143,0.269404761904762,33,35,1.3009412214159966e-08,1.3048785266437,4.471169137388773e-07,0.000999000999000999,4.235640326975485,0.34123230653153147,0.056364503362451274,-0.07142857142857144,0.2717857142857143,True
csd,prestimTRIM_-0.50_to_-0.10s,RIM-4,0.32345238095238094,0.3032142857142857,0.3441666666666667,35,35,2.9103830456733704e-11,1.9639618820549314,2.8603881897987387e-11,0.000999000999000999,4.235640326975485,0.34123230653153147,0.056364503362451274,-0.07142857142857144,0.2717857142857143,True
