reference,window,channel,x,y,dist_cz,row_acc,col_acc,pattern,row_p,col_p,row_null_mean
vertex,prestim_-0.50_to_0.00s,FP1,-0.1924464496629584,0.5922892699155132,0.6227697931378249,0.2725,0.13916666666666666,0.9537149123168019,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,FPZ,0.0,0.622769793137825,0.622769793137825,0.2841666666666667,0.115,1.0,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,FP2,0.1924464496629584,0.5922892699155132,0.6227697931378249,0.2708333333333333,0.14916666666666667,0.9105666071535589,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,AF3,-0.19572631237744492,0.46110229606836256,0.500923264379275,0.2608333333333333,0.1475,0.9103447290186187,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,AF4,0.19572631237744492,0.46110229606836256,0.500923264379275,0.26,0.16416666666666666,0.7876704283418018,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,F7,-0.5038313462318709,0.36605489997964774,0.6227697931378249,0.20666666666666667,0.27,0.25418581209153535,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,F5,-0.38316449267044905,0.3330798118805041,0.5076979313782504,0.21916666666666668,0.27,0.3590327414444738,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,F3,-0.2555991277378157,0.31563863605626796,0.4061510343108748,0.23333333333333334,0.22416666666666665,0.6673952487234295,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,F1,-0.12679132837194124,0.31381954998058037,0.3384652875855003,0.25166666666666665,0.1425,0.7729878013311656,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,FZ,0.0,0.31139098889535044,0.31139098889535044,0.25416666666666665,0.13416666666666666,0.9893285186674432,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,F2,0.12679132837194124,0.31381954998058037,0.3384652875855003,0.24166666666666667,0.15416666666666667,0.8638251411352266,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,F4,0.2555991277378157,0.31563863605626796,0.4061510343108748,0.23916666666666667,0.22333333333333333,0.7240403123245481,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,F6,0.38316449267044905,0.3330798118805041,0.5076979313782504,0.22416666666666665,0.26416666666666666,0.4717281593185256,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,F8,0.5038313462318709,0.36605489997964774,0.6227697931378249,0.19583333333333333,0.3408333333333333,0.1295077940948088,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,FT7,-0.5922892699155132,0.19244644966295846,0.622769793137825,0.225,0.27,0.2971705446625531,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,FC5,-0.4486894406361628,0.17223573916038115,0.4806114480352247,0.205,0.2725,0.24964286734533872,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,FC3,-0.2988471109399219,0.15889982751154078,0.33846528758550026,0.21666666666666667,0.20583333333333334,0.5533212621524776,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,FC1,-0.15317259329874983,0.15317259329874983,0.21661875882695025,0.23666666666666666,0.16583333333333333,0.6830386884299098,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,FCz,0.0,0.15569549444767522,0.15569549444767522,0.25833333333333336,0.13,0.8060539690126649,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,FC2,0.15317259329874983,0.15317259329874983,0.21661875882695025,0.22833333333333333,0.18416666666666667,0.667840480365086,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,FC4,0.2988471109399219,0.15889982751154078,0.33846528758550026,0.22083333333333333,0.2575,0.6494756172277403,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,FC6,0.4486894406361628,0.17223573916038115,0.4806114480352247,0.19,0.3225,0.1286503529427332,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,FT8,0.5922892699155132,0.19244644966295846,0.622769793137825,0.21583333333333332,0.33916666666666667,0.2596661825891344,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,T7,-0.622769793137825,3.8133651688594835e-17,0.622769793137825,0.23416666666666666,0.2575,0.5723875366963262,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,C5,-0.4670742986901498,2.860005224274434e-17,0.4670742986901498,0.22333333333333333,0.2675,0.22529576582968777,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,C3,-0.31139098889535044,1.9067198891700998e-17,0.31139098889535044,0.22333333333333333,0.25666666666666665,0.05056504407360344,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,C1,-0.15569549444767522,9.533599445850499e-18,0.15569549444767522,0.21916666666666668,0.19166666666666668,0.2884712175237946,nan,nan,nan
