reference,window,channel,x,y,dist_from_cz,row_acc,col_acc,activation_pattern
vertex,pre-stim_-0.50_to_0.00s,FP1,-0.1924464496629584,0.5922892699155132,0.6227697931378249,0.3016666666666667,0.17642857142857143,0.7829211133299513
vertex,pre-stim_-0.50_to_0.00s,FPZ,0.0,0.622769793137825,0.622769793137825,0.3314285714285714,0.1286904761904762,0.9975141708562506
vertex,pre-stim_-0.50_to_0.00s,FP2,0.1924464496629584,0.5922892699155132,0.6227697931378249,0.3125,0.1580952380952381,0.7788597543497854
vertex,pre-stim_-0.50_to_0.00s,AF3,-0.19572631237744492,0.46110229606836256,0.500923264379275,0.2839285714285714,0.19630952380952382,0.9583929462429333
vertex,pre-stim_-0.50_to_0.00s,AF4,0.19572631237744492,0.46110229606836256,0.500923264379275,0.29273809523809524,0.17916666666666667,0.8977359476127513
vertex,pre-stim_-0.50_to_0.00s,F7,-0.5038313462318709,0.36605489997964774,0.6227697931378249,0.22380952380952382,0.30773809523809526,0.2630735310573378
vertex,pre-stim_-0.50_to_0.00s,F5,-0.38316449267044905,0.3330798118805041,0.5076979313782504,0.2236904761904762,0.28,0.30294348864944165
vertex,pre-stim_-0.50_to_0.00s,F3,-0.2555991277378157,0.31563863605626796,0.4061510343108748,0.24702380952380953,0.2307142857142857,0.44577739887056983
vertex,pre-stim_-0.50_to_0.00s,F1,-0.12679132837194124,0.31381954998058037,0.3384652875855003,0.27440476190476193,0.17702380952380953,0.598899927092718
vertex,pre-stim_-0.50_to_0.00s,FZ,0.0,0.31139098889535044,0.31139098889535044,0.29488095238095235,0.13154761904761905,1.0
vertex,pre-stim_-0.50_to_0.00s,F2,0.12679132837194124,0.31381954998058037,0.3384652875855003,0.2825,0.15904761904761905,0.7362676527313459
vertex,pre-stim_-0.50_to_0.00s,F4,0.2555991277378157,0.31563863605626796,0.4061510343108748,0.251547619047619,0.2179761904761905,0.5033960603072606
vertex,pre-stim_-0.50_to_0.00s,F6,0.38316449267044905,0.3330798118805041,0.5076979313782504,0.23238095238095238,0.2720238095238095,0.32052107504810995
vertex,pre-stim_-0.50_to_0.00s,F8,0.5038313462318709,0.36605489997964774,0.6227697931378249,0.22142857142857142,0.30988095238095237,0.2657515843185923
vertex,pre-stim_-0.50_to_0.00s,FT7,-0.5922892699155132,0.19244644966295846,0.622769793137825,0.22702380952380952,0.2835714285714286,0.21201484487688213
vertex,pre-stim_-0.50_to_0.00s,FC5,-0.4486894406361628,0.17223573916038115,0.4806114480352247,0.21880952380952381,0.28476190476190477,0.18538788980149792
