reference,window,channel,x,y,dist_cz,row_acc,col_acc,pattern,row_p,col_p,row_null_mean,row_p_fdr,col_p_fdr
vertex,prestim_-0.50_to_0.00s,FP1,-0.1924464496629584,0.5922892699155132,0.6227697931378249,0.3016666666666667,0.17642857142857143,0.782921113329952,0.000999000999000999,0.000999000999000999,0.19979988095238096,True,True
vertex,prestim_-0.50_to_0.00s,FPZ,0.0,0.622769793137825,0.622769793137825,0.3314285714285714,0.1286904761904762,0.9975141708562465,0.000999000999000999,0.15984015984015984,0.19982035714285715,True,False
vertex,prestim_-0.50_to_0.00s,FP2,0.1924464496629584,0.5922892699155132,0.6227697931378249,0.3125,0.1580952380952381,0.7788597543497838,0.000999000999000999,0.000999000999000999,0.1999167857142857,True,True
vertex,prestim_-0.50_to_0.00s,AF3,-0.19572631237744492,0.46110229606836256,0.500923264379275,0.2839285714285714,0.19630952380952382,0.9583929462429323,0.000999000999000999,0.000999000999000999,0.19987595238095238,True,True
vertex,prestim_-0.50_to_0.00s,AF4,0.19572631237744492,0.46110229606836256,0.500923264379275,0.29273809523809524,0.17916666666666667,0.8977359476127487,0.000999000999000999,0.000999000999000999,0.19982285714285714,True,True
vertex,prestim_-0.50_to_0.00s,F7,-0.5038313462318709,0.36605489997964774,0.6227697931378249,0.22380952380952382,0.30773809523809526,0.26307353105733683,0.000999000999000999,0.000999000999000999,0.19993988095238097,True,True
vertex,prestim_-0.50_to_0.00s,F5,-0.38316449267044905,0.3330798118805041,0.5076979313782504,0.2236904761904762,0.28,0.30294348864944043,0.000999000999000999,0.000999000999000999,0.19981035714285714,True,True
vertex,prestim_-0.50_to_0.00s,F3,-0.2555991277378157,0.31563863605626796,0.4061510343108748,0.24702380952380953,0.2307142857142857,0.4457773988705681,0.000999000999000999,0.000999000999000999,0.19977404761904763,True,True
vertex,prestim_-0.50_to_0.00s,F1,-0.12679132837194124,0.31381954998058037,0.3384652875855003,0.27440476190476193,0.17702380952380953,0.5988999270927183,0.000999000999000999,0.000999000999000999,0.19967761904761902,True,True
vertex,prestim_-0.50_to_0.00s,FZ,0.0,0.31139098889535044,0.31139098889535044,0.29488095238095235,0.13154761904761905,1.0,0.000999000999000999,0.04295704295704296,0.19981476190476188,True,True
vertex,prestim_-0.50_to_0.00s,F2,0.12679132837194124,0.31381954998058037,0.3384652875855003,0.2825,0.15904761904761905,0.7362676527313444,0.000999000999000999,0.000999000999000999,0.19972607142857146,True,True
vertex,prestim_-0.50_to_0.00s,F4,0.2555991277378157,0.31563863605626796,0.4061510343108748,0.251547619047619,0.2179761904761905,0.5033960603072598,0.000999000999000999,0.000999000999000999,0.1998627380952381,True,True
vertex,prestim_-0.50_to_0.00s,F6,0.38316449267044905,0.3330798118805041,0.5076979313782504,0.23238095238095238,0.2720238095238095,0.320521075048109,0.000999000999000999,0.000999000999000999,0.19991619047619047,True,True
vertex,prestim_-0.50_to_0.00s,F8,0.5038313462318709,0.36605489997964774,0.6227697931378249,0.22142857142857142,0.30988095238095237,0.2657515843185913,0.000999000999000999,0.000999000999000999,0.19989559523809525,True,True
