subject,mean_r2
S1,0.2571286480601527
S10,0.3381254213447482
S11,0.1892494430577953
S12,0.5682616722769481
S13,0.24085684509553723
S14,0.6820134221506314
S15,0.3569505113092542
S16,0.47199228454827064
S17,0.22745393648313214
S18,0.24460236296891846
S19,0.5054056446452971
S2,0.3779394104348013
S20,0.3901153582346243
S21,0.3952977484461983
S22,0.19544211252522956
S23,0.3289279922442275
S24,0.4163999583865295
S25,0.2910898263425788
S26,0.27714232576848624
S27,0.3287409237556846
S28,0.23376189785675597
S29,0.6336442949405444
S3,0.6745586015850851
S30,0.2238109515696069
S31,0.30854690452973343
S32,0.5224067939504734
S33,0.40214655735348975
S34,0.21079221353150665
S35,0.27572724283423067
S4,0.47164116068521683
S5,0.295769396075161
S6,0.398765915567226
S7,0.4375731124645473
S8,0.19485791308456293
S9,0.2424659398749576
